CD_SETOR,populacao,area_veg_m2,area_veg_ha,area_total_m2,pct_vegetacao,pct_construcao,pct_outros,indice_verde,classificacao,ranking
130190205000001P,869,8703.999999650521,0.87,118827.73512056941,7.3,54.2,38.5,10.0,Moderado,71
130190205000002P,705,14911.99999945215,1.49,116813.25170712045,12.8,44.0,43.3,21.2,Adequado,51
130190205000003P,810,10946.052271976449,1.09,103835.30596175398,10.5,58.2,31.3,13.5,Adequado,61
130190205000004P,269,2172.5689122382173,0.22,48380.68262257471,4.5,52.1,43.4,8.1,Moderado,76
130190205000005P,579,2751.9999999844003,0.28,75794.70349035031,3.6,62.3,34.1,4.8,Atenção,83
130190205000006P,582,971.9212988723008,0.1,65022.89916809145,1.5,64.0,34.5,1.7,Crítico,92
130190205000007P,593,63.999999983469024,0.01,59521.75986506489,0.1,63.9,36.0,0.1,Crítico,100
130190205000008P,495,319.99999998440035,0.03,31322.3598445012,1.0,80.0,19.0,0.6,Crítico,94
130190205000009P,185,7482.235340591075,0.75,24112.648022211026,31.0,45.9,23.1,40.4,Adequado,41
130190205000010P,1161,66510.6166472238,6.65,218801.98282325198,30.4,40.6,29.0,57.3,Adequado,29
130190205000011P,980,10417.717978928307,1.04,164259.81605884584,6.3,46.6,47.0,10.6,Moderado,70
130190205000012P,668,57.013082555566854,0.01,43573.27924724898,0.1,71.0,28.9,0.1,Crítico,100
130190205000013P,703,3718.7538418720287,0.37,173909.95027651684,2.1,59.7,38.1,5.3,Atenção,82
130190205000014P,858,5739.765302524115,0.57,106983.59102807337,5.4,61.0,33.7,6.7,Moderado,79
130190205000015P,888,2047.9999999089632,0.2,121887.32889918424,1.7,71.0,27.3,2.3,Crítico,90
130190205000016P,168,5119.999999779742,0.51,89343.36722529045,5.7,66.7,27.6,30.5,Adequado,44
130190205000017P,939,12584.69087635027,1.26,162927.60069732898,7.7,48.5,43.8,13.4,Adequado,62
130190205000018P,845,9791.999999737134,0.98,132525.31999978665,7.4,56.2,36.4,11.6,Moderado,66
130190205000019P,543,3714.747876047304,0.37,115896.14145983933,3.2,50.2,46.6,6.8,Moderado,78
130190205000020P,670,6647.36955595747,0.66,175808.9805354482,3.8,47.5,48.7,9.9,Moderado,72
130190205000021P,751,18310.38240165808,1.83,217313.808663807,8.4,50.0,41.6,24.4,Adequado,49
130190205000022P,703,31332.437966766283,3.13,246046.1509326734,12.7,35.8,51.5,44.6,Adequado,38
130190205000023P,215,43257.399328104744,4.33,115126.38942104157,37.6,41.9,20.5,201.2,Adequado,9
130190205000024P,273,143987.24817206236,14.4,359518.1819588407,40.1,17.5,42.4,527.4,Adequado,2
130190205000025P,458,4301.243338884788,0.43,153361.61176329243,2.8,63.8,33.4,9.4,Moderado,73
130190205000026P,518,2896.6116652028786,0.29,35620.28615771115,8.1,72.7,19.2,5.6,Atenção,81
130190205000027P,543,11008.700920150823,1.1,40592.41376167451,27.1,56.8,16.1,20.3,Adequado,52
130190205000028P,1285,70890.35079740219,7.09,356200.2485366548,19.9,35.2,44.9,55.2,Adequado,31
130190205000029P,1009,157913.42998241447,15.79,425272.21970488713,37.1,14.2,48.7,156.5,Adequado,13
130190205000030P,173,10246.740825769488,1.02,67100.62117529023,15.3,55.2,29.5,59.2,Adequado,28
130190205000031P,456,1535.9999999236315,0.15,71097.8981039078,2.2,72.2,25.7,3.4,Atenção,87
130190205000032P,1046,19853.499814178176,1.99,132484.8587993041,15.0,61.5,23.5,19.0,Adequado,54
130190205000033P,690,126622.93193507534,12.66,257905.06222826356,49.1,29.7,21.2,183.5,Adequado,12
130190205000034P,1010,575.9999999706633,0.06,87713.73011128347,0.7,75.8,23.6,0.6,Crítico,94
130190205000035P,599,7928.605416856939,0.79,102785.18099287122,7.7,59.2,33.1,13.2,Adequado,63
130190205000036P,850,180698.52965095296,18.07,398050.3296767714,45.4,26.2,28.4,212.6,Adequado,8
130190205000037P,749,16212.480279009174,1.62,121693.70486666737,13.3,50.7,36.0,21.6,Adequado,50
